Date,Close (GP),Average (GP)
2020-04-08,4134618,4522980
2020-04-09,4009639,4501601
2020-04-10,3903868,4473252
2020-04-11,3853462,4442300
2020-04-12,3941327,4415261
2020-04-13,4034613,4392554
2020-04-14,4013946,4369056
2020-04-15,3915445,4339586
2020-04-16,3742945,4301351
2020-04-17,3576253,4254764
2020-04-18,3598013,4209432
2020-04-19,3659431,4168190
2020-04-20,3770393,4134050
2020-04-21,3862609,4106302
2020-04-22,3946547,4080817
2020-04-23,3919791,4050646
2020-04-24,3852179,4019770
2020-04-25,3754224,3990596
2020-04-26,3687766,3964659
2020-04-27,3718432,3945456
2020-04-28,3736057,3930581
2020-04-29,3714145,3912210
2020-04-30,3678669,3891390
2020-05-01,3731969,3874733
2020-05-02,3739220,3860997
2020-05-03,3667634,3845550
2020-05-04,3606176,3830740
2020-05-05,3531070,3814697
2020-05-06,3587559,3800054
2020-05-07,3638664,3784222
2020-05-08,3644997,3767901
2020-05-09,3552268,3752655
2020-05-10,3536578,3740412
2020-05-11,3642018,3733364
2020-05-12,3748453,3726935
2020-05-13,3838414,3720395
2020-05-14,3788850,3712892
2020-05-15,3691664,3705432
2020-05-16,3640427,3702015
2020-05-17,3525063,3700309
2020-05-18,3478501,3696325
2020-05-19,3483324,3690455
2020-05-20,3503895,3681572
2020-05-21,3504177,3669624
2020-05-22,3482029,3654140
2020-05-23,3435678,3638003
2020-05-24,3365424,3621778
2020-05-25,3428404,3610917
2020-05-26,3441635,3602713
2020-05-27,3553419,3597212
2020-05-28,3601790,3592737
2020-05-29,3566681,3587821
2020-05-30,3508989,3582165
2020-05-31,3495400,3574280
2020-06-01,3559162,3568278
2020-06-02,3647135,3567594
2020-06-03,3740542,3572073
2020-06-04,3878676,3583660
2020-06-05,3936450,3595290
2020-06-06,3881832,3603395
2020-06-07,3746758,3606787
2020-06-08,3714245,3612187
2020-06-09,3772030,3620035
2020-06-10,3829026,3626269
2020-06-11,3884138,3630791
2020-06-12,3900224,3632852
2020-06-13,3902536,3636641
2020-06-14,3893575,3643372
2020-06-15,3963779,3654150
2020-06-16,3985286,3669491
2020-06-17,4041337,3688252
2020-06-18,4107240,3709049
2020-06-19,4139043,3730221
2020-06-20,4026283,3747624
2020-06-21,3937171,3762796
2020-06-22,3981623,3780994
2020-06-23,4068045,3804415
2020-06-24,4129412,3827782
2020-06-25,4169195,3852034
2020-06-26,4219173,3874225
2020-06-27,4123136,3891604
2020-06-28,4015096,3906551
2020-06-29,3996543,3922803
2020-06-30,3940883,3937652
2020-07-01,3891362,3948725
2020-07-02,3878652,3956443
2020-07-03,3942636,3963179
2020-07-04,3977565,3966475
2020-07-05,3995695,3968450
2020-07-06,4069856,3974718
2020-07-07,4166332,3988703
2020-07-08,4265380,4007075
2020-07-09,4272301,4023750
2020-07-10,4287041,4039017
2020-07-11,4292579,4052632
2020-07-12,4312581,4066377
2020-07-13,4362028,4081694
2020-07-14,4514287,4102384
2020-07-15,4590099,4123262
2020-07-16,4542129,4141823
2020-07-17,4561944,4159177
2020-07-18,4490635,4171956
2020-07-19,4386156,4180193
2020-07-20,4344162,4190789
2020-07-21,4521090,4210253
2020-07-22,4633298,4231976
2020-07-23,4612515,4250125
2020-07-24,4558725,4264435
2020-07-25,4411356,4272507
2020-07-26,4291234,4274909
2020-07-27,4362603,4282892
2020-07-28,4465223,4297896
2020-07-29,4556837,4316572
2020-07-30,4582865,4337972
2020-07-31,4470066,4357262
2020-08-01,4316227,4371848
2020-08-02,4214831,4380921
2020-08-03,4334726,4392826
2020-08-04,4464810,4408463
2020-08-05,4577014,4425369
2020-08-06,4654505,4441641
2020-08-07,4626175,4453668
2020-08-08,4543662,4462713
2020-08-09,4517498,4470395
2020-08-10,4655611,4482496
2020-08-11,4784524,4498227
2020-08-12,4846813,4514387
2020-08-13,4932882,4528340
2020-08-14,4883450,4538118
2020-08-15,4817520,4547298
2020-08-16,4716561,4552452
2020-08-17,4659034,4558065
2020-08-18,4740034,4569861
2020-08-19,4801466,4585105
2020-08-20,4838221,4595676
2020-08-21,4789908,4600896
2020-08-22,4766776,4606038
2020-08-23,4719229,4611388
2020-08-24,4722415,4621757
2020-08-25,4804828,4638877
2020-08-26,4853995,4655256
2020-08-27,4923546,4670534
2020-08-28,4884454,4681454
2020-08-29,4792827,4688453
2020-08-30,4814354,4699929
2020-08-31,4929320,4720366
2020-09-01,5036062,4747740
2020-09-02,5050459,4771598
2020-09-03,5090480,4792454
2020-09-04,5031800,4807613
2020-09-05,4960554,4817815
2020-09-06,4966882,4829172
2020-09-07,5030278,4845392
2020-09-08,5117773,4865401
2020-09-09,5218477,4884164
2020-09-10,5277671,4900602
2020-09-11,5146425,4910589
2020-09-12,4959728,4911484
2020-09-13,4845739,4910227
2020-09-14,4939277,4914285
2020-09-15,5146618,4928621
2020-09-16,5288970,4949618
2020-09-17,5319108,4968921
2020-09-18,5235757,4983397
2020-09-19,5184879,4994952
2020-09-20,5142174,5006695
2020-09-21,5140002,5019136
2020-09-22,5204989,5035328
2020-09-23,5258406,5053194
2020-09-24,5247849,5067961
2020-09-25,5171587,5078548
2020-09-26,4976347,5080308
2020-09-27,4924070,5081628
2020-09-28,5060745,5090559
2020-09-29,5222480,5104163
2020-09-30,5337011,5117753
2020-10-01,5351351,5128262
2020-10-02,5385340,5139425
2020-10-03,5344335,5147887
2020-10-04,5311269,5157203
2020-10-05,5358790,5170477
2020-10-06,5549816,5189908
2020-10-07,5615855,5209427
2020-10-08,5660359,5227514
2020-10-09,5629374,5241210
2020-10-10,5465361,5247467
2020-10-11,5383885,5255382
2020-10-12,5462891,5272154
2020-10-13,5617631,5297884
2020-10-14,5798093,5326511
2020-10-15,5880407,5350971
2020-10-16,5764578,5366824
2020-10-17,5624923,5377018
2020-10-18,5559095,5387796
2020-10-19,5633901,5402763
2020-10-20,5803452,5424806
2020-10-21,5934796,5451299
2020-10-22,5916807,5475026
2020-10-23,5729726,5490737
2020-10-24,5582513,5501892
